date,capital,gross_return,net_return,turnover,commission_cost,positions,universe_size
2023-04-02,12654.428698488722,0.012440446454601876,0.012214833399550087,0.45122611010357644,0.0002256130550517882,8,40
2023-04-09,14326.513952381294,0.13256365770644019,0.1321343929254003,0.8585295620797618,0.00042926478103988094,8,40
2023-04-16,12249.85052494314,-0.1445564794555987,-0.14495245907975965,0.7919592483218804,0.0003959796241609402,8,40
2023-04-23,12495.933453159378,0.020293417039065627,0.020088647425955414,0.40953922622042505,0.00020476961311021252,8,40
2023-04-30,11994.709581645431,-0.03951171123207084,-0.04011095876852813,1.1984950729145831,0.0005992475364572916,8,40
2023-05-07,11670.022777222466,-0.026709932833456296,-0.027069167637022953,0.7184696071333136,0.00035923480356665684,8,40
2023-05-14,11872.605526323383,0.01752065300892925,0.017359241962776467,0.32282209230556547,0.00016141104615278274,8,40
2023-05-21,12442.245591122764,0.048343358184197445,0.047979364220970974,0.7279879264529351,0.00036399396322646756,8,40
2023-05-28,12689.480193712947,0.020105977390328735,0.01987057728281594,0.47080021502558606,0.00023540010751279302,8,40
2023-06-04,10059.474006426593,-0.20664173168968164,-0.20725878027607467,1.2340971727860564,0.0006170485863930282,8,40
2023-06-11,9953.23268947627,-0.010147210390144483,-0.010561319297852867,0.8282178154167685,0.00041410890770838426,8,40
2023-06-18,11070.122863458197,0.11258174360340961,0.11221381121360047,0.7358647796182903,0.00036793238980914515,8,40
2023-06-25,11854.679896496034,0.0711710681459141,0.07087157412024887,0.5989880513304628,0.0002994940256652314,8,40
2023-07-02,11191.818061109154,-0.05557387568147554,-0.055915624983075764,0.6834986032004484,0.0003417493016002242,8,40
2023-07-09,11713.455697827547,0.0470783625836492,0.046608838159284446,0.9390488487295012,0.0004695244243647506,8,40
2023-07-16,11381.268849550925,-0.027687374646320793,-0.02835942328601042,1.3440972793792492,0.0006720486396896246,8,40
2023-07-23,10968.225077625648,-0.03575661210268392,-0.036291539843694445,1.0698554820210566,0.0005349277410105284,8,40
2023-07-30,10946.099824533245,-0.0013852119864337228,-0.002017213627165365,1.2640032814632851,0.0006320016407316425,8,40
2023-08-06,11257.40548919161,0.028767515365583713,0.028439870789470075,0.6552891522272742,0.00032764457611363714,8,40
2023-08-13,9641.581625028355,-0.1431310057115597,-0.14353430421553434,0.8065970079492564,0.0004032985039746282,8,40
2023-08-20,9753.323845053861,0.012090023712686943,0.011589615103753973,1.0008172178659385,0.0005004086089329693,8,40
2023-08-27,9438.224954356661,-0.03220568974100828,-0.032306821315791046,0.20226314956553557,0.00010113157478276779,8,40
2023-09-03,9375.706356439545,-0.006278958128874777,-0.0066239783666374764,0.6900404755253994,0.0003450202377626997,8,40
2023-09-10,9519.448531678969,0.015613370434039573,0.0153313435569253,0.5640537542285453,0.00028202687711427265,8,40
2023-09-17,9734.117444551683,0.023251966746805394,0.022550561848024554,1.4028097975616833,0.0007014048987808417,8,40
2023-09-24,11443.91051255919,0.17615348131333522,0.17564952115556212,1.0079203155461953,0.0005039601577730977,8,40
2023-10-01,10616.94687322379,-0.07180797838571007,-0.07226233012114572,0.9087034708713099,0.00045435173543565495,8,40
2023-10-08,10298.028415721348,-0.02982917720285807,-0.030038622337534873,0.4188902693536094,0.0002094451346768047,8,40
2023-10-15,11909.83286853593,0.15696792958245395,0.1565158288312684,0.9042015023710894,0.00045210075118554474,8,40
2023-10-22,14001.113649494442,0.17598651007686983,0.17559278992767197,0.7874402983957418,0.00039372014919787093,8,40
2023-10-29,14821.494852970642,0.05901243313230469,0.058593996450119555,0.8368733643702762,0.0004184366821851381,8,40
2023-11-05,18246.959509624267,0.23164643692984482,0.23111465413133175,1.063565597026146,0.000531782798513073,8,40
2023-11-12,19444.032733053387,0.06591151739618531,0.06560398310730786,0.6150685777548841,0.0003075342888774421,8,40
2023-11-19,19125.69321658163,-0.016215292257308382,-0.016372093219664565,0.31360192471236414,0.00015680096235618207,8,40
2023-11-26,20017.978495381674,0.046927426700793626,0.04665374837375569,0.5473566540758716,0.0002736783270379358,8,40
2023-12-03,23184.541437672095,0.15846843000347688,0.15818594984608336,0.5649603147870353,0.0002824801573935177,8,40
2023-12-10,23078.652320669327,-0.003945199414697585,-0.004567229301792914,1.2440597741906585,0.0006220298870953292,8,40
2023-12-17,26786.10835690314,0.16114896651138916,0.16064439052679863,1.009151969181068,0.000504575984590534,8,40
2023-12-24,25896.402535380887,-0.03285278087478844,-0.03321519534184082,0.7248289341047569,0.00036241446705237846,8,40
2023-12-31,24338.494250925723,-0.05976545684017462,-0.0601592550288278,0.7875963773063672,0.0003937981886531836,8,40
2024-01-07,25189.546724682416,0.03530007133461043,0.03496734288417696,0.6654569008669482,0.0003327284504334741,8,40
2024-01-14,23025.558374362725,-0.08547924140635507,-0.08590818937600284,0.8578959392955264,0.00042894796964776323,8,40
2024-01-21,22834.399925366764,-0.007766379314820181,-0.008302011438245967,1.071264246851574,0.000535632123425787,8,40
2024-01-28,22554.96887374754,-0.0118109522260646,-0.012237284646521603,0.8526648409140036,0.0004263324204570018,8,40
2024-02-04,24540.116028761327,0.08867467069708604,0.08801373950572657,1.3218623827189446,0.0006609311913594723,8,40
2024-02-11,26518.07224412542,0.08132016982811886,0.08060093167635812,1.4384763035214807,0.0007192381517607403,8,40
2024-02-18,26241.57972684752,-0.0100793836344098,-0.010426569274436815,0.6943712800540304,0.0003471856400270152,8,40
2024-02-25,31233.35654273578,0.19095371824181318,0.19022394489388206,1.4595466958622363,0.0007297733479311181,8,40
2024-03-03,34234.78587437304,0.09669819699729185,0.09609691893122295,1.2025561321378073,0.0006012780660689037,8,40
2024-03-10,34058.03853202541,-0.004834494958178677,-0.005162799703091828,0.6566094898263011,0.00032830474491315055,8,40
2024-03-17,33440.60141854336,-0.017657452509424437,-0.01812896866921638,0.9430323195838844,0.0004715161597919422,8,40
2024-03-24,36239.86111574784,0.084143366911045,0.08370841367859608,0.8699064648978535,0.0004349532324489268,8,40
2024-03-31,32836.639609914775,-0.09338084403111781,-0.09390823808522292,1.0547881082102324,0.0005273940541051162,8,40
2024-04-07,27768.26232209849,-0.15419239813291208,-0.15435127796347128,0.31775966111840903,0.0001588798305592045,8,40
2024-04-14,27207.576359541785,-0.019719154715783862,-0.02019161141784887,0.9449134041300122,0.0004724567020650061,8,40
2024-04-21,26861.986793044958,-0.01243391412492326,-0.012701960730714805,0.5360932115830879,0.00026804660579154396,8,40
2024-04-28,27496.033379081233,0.024035625858737444,0.023603860389077413,0.863530939320062,0.000431765469660031,8,40
2024-05-05,25953.29398180695,-0.055480273842620706,-0.05610770746474233,1.254867244243237,0.0006274336221216185,8,40
2024-05-12,26758.196225181444,0.031421749745808844,0.031013490770717893,0.8165179501819014,0.00040825897509095074,8,40
2024-05-19,31369.440716677236,0.1727837978514666,0.1723301695185368,0.9072566658596248,0.00045362833292981244,8,40
2024-05-26,31589.38152685783,0.007317478195616123,0.0070113079849606985,0.6123404213108488,0.0003061702106554244,8,40
2024-06-02,28393.555809522237,-0.10077825242054118,-0.10116772038156073,0.7789359220390798,0.0003894679610195399,8,40
2024-06-09,26214.54424610924,-0.0764141154538602,-0.07674317292384457,0.6581149399687278,0.00032905746998436393,8,40
2024-06-16,23620.493140025574,-0.09870798836260448,-0.09895465210953172,0.4933274938544674,0.0002466637469272337,8,40
2024-06-23,23664.36423850678,0.0024098405799872517,0.0018573320303319014,1.1050170993107005,0.0005525085496553503,8,40
2024-06-30,20145.72791166709,-0.14853365848012176,-0.1486892397098142,0.31116245938488984,0.00015558122969244493,8,40
2024-07-07,22261.561696806053,0.10529121692370612,0.10502642517640734,0.5295834945975546,0.0002647917472987773,8,40
2024-07-14,25060.833762686947,0.12605533446974582,0.12574464020116424,0.6213885371631641,0.0003106942685815821,8,40
2024-07-21,22855.365173272818,-0.08742035323227175,-0.08800459754447,1.1684886243965105,0.0005842443121982552,8,40
2024-07-28,17731.63301420568,-0.2237335046342844,-0.22418071731616238,0.8944253637559194,0.0004472126818779597,8,40
2024-08-04,18199.653921840436,0.02685237326265059,0.026394687238327236,0.9153720486467108,0.00045768602432335546,8,40
